nama_tempat_wisata,kategori,preferensi,kecamatan,kabupaten_kota,rating,jumlah_rating,harga_tiket,link,latitude,longitude,link_gambar
Tirta Ciburial,Umum,Lainnya,Cibungbulang,Kabupaten Bogor,4.2,386,,https://www.google.com/maps/place/Tirta+Ciburial/data=!4m7!3m6!1s0x2e69daea0c188c9d:0x2647be0cf8e69894!8m2!3d-6.6067702!4d106.6989244!16s%2Fg%2F11b6gntkyg!19sChIJnYwYDOraaS4RlJjm-Ay-RyY?authuser=0&hl=id&rclk=1,-6.6067702,106.6989244,
Wisata Alam Gunung Benteng Pabangbon,Alam,Wisata Alam,Cibungbulang,Kabupaten Bogor,4.0,185,,https://www.google.com/maps/place/Wisata+Alam+Gunung+Benteng+Pabangbon/data=!4m7!3m6!1s0x2e69d9c955555555:0xe5d8a29d31a9dc64!8m2!3d-6.6200625!4d106.5878723!16s%2Fg%2F11c6dj_tf8!19sChIJVVVVVcnZaS4RZNypMZ2i2OU?authuser=0&hl=id&rclk=1,-6.6200625,106.5878723,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSytYv_2JNJqxMgRkxpDh1yZdzvIDFdsoFuAnTMQmPUhANrWTONSqWj343AV4dx456i3TS9BVmM4Bd6SaGlLFn9rHFHELvif5fcbj5LXgvrOSIxOMPTbpQxLTnIAXfNfa8uQfMdHXQ=w1200-h800
Telaga Batu,Umum,Lainnya,Cibungbulang,Kabupaten Bogor,4.5,572,,https://www.google.com/maps/place/Telaga+Batu/data=!4m7!3m6!1s0x2e69d17dadbe4265:0xc82f69c2e586ea6d!8m2!3d-6.6972853!4d106.6930933!16s%2Fg%2F11hf88y6m8!19sChIJZUK-rX3RaS4RbeqG5cJpL8g?authuser=0&hl=id&rclk=1,-6.6972853,106.6930933,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzD5d8ZFA8U2Ih3eXMCkSbc2bqpg329eqkYJgLfZ2Z6ZR_wdSheLEBYgInLQYUUMcK6c6JN7NuioGZYRlwZBUsiVW1eNZlX_IsqLXHD2HeJ8mKwM41SVRP5Q5ucWLPYtWlrWBeu=w1200-h800
Curug Cilame Pabangbon,Alam,Wisata Alam,Cibungbulang,Kabupaten Bogor,3.9,585,,https://www.google.com/maps/place/Curug+Cilame+Pabangbon/data=!4m7!3m6!1s0x2e69d9cdd014c56b:0x117b9098b184910!8m2!3d-6.6232349!4d106.5872245!16s%2Fg%2F11dxry6g5t!19sChIJa8UU0M3ZaS4REEkYiwm5FwE?authuser=0&hl=id&rclk=1,-6.6232349,106.5872245,
Jembatan Cianten,Umum,Lainnya,Cibungbulang,Kabupaten Bogor,4.3,486,,https://www.google.com/maps/place/Jembatan+Cianten/data=!4m7!3m6!1s0x2e69dbdd3c93f973:0xbef7ab4c76758c78!8m2!3d-6.5735922!4d106.6392566!16s%2Fg%2F11f1580np2!19sChIJc_mTPN3baS4ReIx1dkyr974?authuser=0&hl=id&rclk=1,-6.5735922,106.6392566,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxvtebvoSl2WK70Vi4Cbq7g4I5XspXfkJNzJ7mkFkMmoqu8vL89XQAtEFUrZhL6TdW72eNSS2cdS5smBrzsrvADUrT-_cDQSJq_cnnAey9HUx0QZC-zGcVbYBDfcc0fFFpVdN-ZPg=w1200-h800
Tourism Bukit Bintang,Alam,Wisata Alam,Cibungbulang,Kabupaten Bogor,3.5,31,,https://www.google.com/maps/place/Tourism+Bukit+Bintang/data=!4m7!3m6!1s0x2e69d990efca0177:0xd4cbe558f41c5d46!8m2!3d-6.6055329!4d106.6135668!16s%2Fg%2F11ggzj2n5f!19sChIJdwHK75DZaS4RRl0c9Fjly9Q?authuser=0&hl=id&rclk=1,-6.6055329,106.6135668,
Taman Nasional Gunung Halimun Salak,Alam,Wisata Alam,Cibungbulang,Kabupaten Bogor,4.2,2098,,https://www.google.com/maps/place/Taman+Nasional+Gunung+Halimun+Salak/data=!4m7!3m6!1s0x2e69d1b236306b89:0xd569bbeda50f1135!8m2!3d-6.6766313!4d106.6901581!16s%2Fg%2F11ckvwdrmg!19sChIJiWswNrLRaS4RNREPpe27adU?authuser=0&hl=id&rclk=1,-6.6766313,106.6901581,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx30zrcnRuPV2nQR9sqCnqXuPzMrC4YdkjEUmw1lnpTS6mycE1M9clvsRmHwFd9pxQ_prmGJzWYXtecvCbtQBLbEkKnusxvh4XroHDZHEM7ZF2LQlADyjkIuMZE6DEx1BSMss8=w1200-h800
Rumpin Eco Park,Alam,Wisata Alam,Cibungbulang,Kabupaten Bogor,4.4,110,,https://www.google.com/maps/place/Rumpin+Eco+Park/data=!4m7!3m6!1s0x2e69dd743971e0ab:0x26152610511e7174!8m2!3d-6.4738417!4d106.6453345!16s%2Fg%2F11l325cw9f!19sChIJq-BxOXTdaS4RdHEeURAmFSY?authuser=0&hl=id&rclk=1,-6.4738417,106.6453345,
Wisata Bukit Pangangkang,Alam,Wisata Alam,Cibungbulang,Kabupaten Bogor,4.3,86,,https://www.google.com/maps/place/Wisata+Bukit+Pangangkang/data=!4m7!3m6!1s0x2e69dd1ccde487f9:0xb62e63d56a11174e!8m2!3d-6.5317558!4d106.645212!16s%2Fg%2F11spp8m1k_!19sChIJ-YfkzRzdaS4RThcRatVjLrY?authuser=0&hl=id&rclk=1,-6.5317558,106.645212,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz4SK1rI-HeRZob7bCG1gKCWuTkQ-2_vuzpCsmWxD6sFNlslBORfOBCz_9OepGzIgPvIW2ZBACtH7P2cyEcyxUfIcwBASdpThwP07X3PC6nDWjQU9EE3XNNx8ZuOaq8wFMN-ckj=w1200-h800
Curug atas cikoneng,Alam,Wisata Alam,Cibungbulang,Kabupaten Bogor,4.6,36,,https://www.google.com/maps/place/Curug+atas+cikoneng/data=!4m7!3m6!1s0x2e69d74744391937:0xb5e8e6108917153!8m2!3d-6.6608581!4d106.5996595!16s%2Fg%2F11ft2hvz2q!19sChIJNxk5REfXaS4RU3GRCGGOXgs?authuser=0&hl=id&rclk=1,-6.6608581,106.5996595,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxNIQFlkJ1fljESHrNvhiX-ZWdV4AdWR9_nmKLgY5BkFpXNccRrVR7ocUePNECGCihcO1Teook3cB7V_v468yVHrm0nlLl9cW_gVgQTM8LiLhgUP5YKTruBU2D45-8YBY3yefXFu_6oriI=w1200-h800
Rafting Bogor (Muara Cianten Rafting),Umum,Lainnya,Cibungbulang,Kabupaten Bogor,5.0,201,,https://www.google.com/maps/place/Rafting+Bogor+%28Muara+Cianten+Rafting%29/data=!4m7!3m6!1s0x2e69dd0026e851f1:0x2716aff064cc0c6c!8m2!3d-6.5247766!4d106.6905455!16s%2Fg%2F11xs1yvb_t!19sChIJ8VHoJgDdaS4RbAzMZPCvFic?authuser=0&hl=id&rclk=1,-6.5247766,106.6905455,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw85C87wFGwLpGAHS0zAxO9MluWJLL7UbQFVQIwKboJfVFOn6zsTEPONeXN7GjpFLk787q8RiHZF1aWl-BTZHtz1tnqwOHNkf9pAbvYPh4Ohk2kJiE5B5zEsrhTLD0Cn40TKZKUHj3RcHS1=w1200-h800
RUMAH WISATA PAKIS ASRI,Umum,Lainnya,Cibungbulang,Kabupaten Bogor,4.4,243,,https://www.google.com/maps/place/RUMAH+WISATA+PAKIS+ASRI/data=!4m7!3m6!1s0x2e69d81923eb2743:0xf0d7a12aadf303b3!8m2!3d-6.694382!4d106.6904084!16s%2Fg%2F11b774c16h!19sChIJQyfrIxnYaS4RswPzrSqh1_A?authuser=0&hl=id&rclk=1,-6.694382,106.6904084,
tempat rekreasi,Rekreasi,Wisata Rekreasi,Cibungbulang,Kabupaten Bogor,,,,https://www.google.com/maps/place/tempat+rekreasi/data=!4m7!3m6!1s0x2e69db191434efcd:0x419e698c2ee03c24!8m2!3d-6.5585359!4d106.6609342!16s%2Fg%2F11trthl1mt!19sChIJze80FBnbaS4RJDzgLoxpnkE?authuser=0&hl=id&rclk=1,-6.5585359,106.6609342,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz4pamTPfWXl_avJUcnU5r95xHQyfyG09NNlzAwDRJIJGHTafHNniYji97frp9_-OxL4DDtaERtsOW8mdis7tjMOgKvQadtDD8WnfbBOawup8txnXEvV0YJIcjqldR3zIX0E3Mf=w1200-h800
Bogor Fruit Garden,Alam,Wisata Alam,Cibungbulang,Kabupaten Bogor,4.3,30,,https://www.google.com/maps/place/Bogor+Fruit+Garden/data=!4m7!3m6!1s0x2e69db50d8d2b711:0x762ea6e0557c84b8!8m2!3d-6.627298!4d106.6624678!16s%2Fg%2F11pw0dtpnz!19sChIJEbfS2FDbaS4RuIR8VeCmLnY?authuser=0&hl=id&rclk=1,-6.627298,106.6624678,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwttPzu77Gk__cTRayh2pOF3ttl1_rIAz6ldMasg2WtK6ww20V-uudp8C-z3Uy9mp9uhNI_6ZoB_zz7lcFBnQNk6t9vW6WG1mJjm1DC7PT1oURCXw29Rh1RAi7wkyNWtGVaae6K=w1200-h800
Kebun Teh Cianten,Alam,Wisata Alam,Cibungbulang,Kabupaten Bogor,4.7,178,,https://www.google.com/maps/place/Kebun+Teh+Cianten/data=!4m7!3m6!1s0x2e69d53897264469:0xf4094c73cf359116!8m2!3d-6.7232152!4d106.6049877!16s%2Fg%2F11q32rxh7s!19sChIJaUQmlzjVaS4RFpE1z3NMCfQ?authuser=0&hl=id&rclk=1,-6.7232152,106.6049877,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzYQSPG80kSZEY-JU6BkSTJtokbIs8_a05rmgn6wkyaRwrXnR8q2kUKSqyAlbQpEdrt9kTjpQI_cGK_5o6gfWipznwp3C_Kw0zwvPjvK5d6oy68cF4g6059iyFfvuIiWMaW14t8=w1200-h800
Puncak Batu Roti,Alam,Wisata Alam,Cibungbulang,Kabupaten Bogor,4.5,464,,https://www.google.com/maps/place/Puncak+Batu+Roti/data=!4m7!3m6!1s0x2e69db639859d62b:0x6d8216526a1a580e!8m2!3d-6.5536326!4d106.6915986!16s%2Fg%2F11ddysxq0j!19sChIJK9ZZmGPbaS4RDlgaalIWgm0?authuser=0&hl=id&rclk=1,-6.5536326,106.6915986,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzduPCrhafRmBblC1Xggu10DuVN9yekqdLrFtLLAoW9hD4SRXyIlDM5d4IpKs-K9Stwg_jjN7dRPQ-VzV6cyx1awc5PqsRfi6ErTWFbW0bf9wzlmHqZUuKhO6gofdOtIqAhT64=w1200-h800
Peace Flower Farm,Rekreasi,Wisata Rekreasi,Cibungbulang,Kabupaten Bogor,4.7,24,,https://www.google.com/maps/place/Peace+Flower+Farm/data=!4m7!3m6!1s0x2e69dbce1cdf782f:0xe2538b2d2805808!8m2!3d-6.619644!4d106.686275!16s%2Fg%2F11sm8swq7g!19sChIJL3jfHM7baS4RCFiA0rI4JQ4?authuser=0&hl=id&rclk=1,-6.619644,106.686275,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwN3DKwSQYJ9iPMbu-QwGjS7PQTQoJX5VFc3ZL7Tthisrf527Uu0-8ETewGXrAnWheUqOGXap-Z8Uc5uAGhchzwYy2yCeqZD1HpA7fecSuv6RVfFjNA4r55AaRcD00CBw05uSVO=w1200-h800
Air Terjun Curug Lontar,Alam,Wisata Alam,Cibungbulang,Kabupaten Bogor,4.4,867,,https://www.google.com/maps/place/Air+Terjun+Curug+Lontar/data=!4m7!3m6!1s0x2e69d0a845ba7197:0x69fcd01c7ee2c6c9!8m2!3d-6.636803!4d106.6388636!16s%2Fg%2F11fzf5r56j!19sChIJl3G6RajQaS4RycbifhzQ_Gk?authuser=0&hl=id&rclk=1,-6.636803,106.6388636,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzLo8VPF8SFG10fXSeSCOT7W7Mjusf-3Xej4Bi1czSG65q-vQSt85Ns_hi1iXF1267rjTJp3PMuvnla9syDKpE7LjTpyHy-NuyGXPmw65sUb7gAm75KvdHQL0KrOnPMDGPbMN3OJA=w1200-h800
Rafting Bogor Barat - Pandawa,Umum,Lainnya,Cibungbulang,Kabupaten Bogor,4.8,6,,https://www.google.com/maps/place/Rafting+Bogor+Barat+-+Pandawa/data=!4m7!3m6!1s0x2e69dd7079a22487:0x4f296d0a102ef4d5!8m2!3d-6.5248752!4d106.6910886!16s%2Fg%2F11sty9ndwh!19sChIJhySieXDdaS4R1fQuEAptKU8?authuser=0&hl=id&rclk=1,-6.5248752,106.6910886,https://lh3.googleusercontent.com/p/AF1QipMM4ODioCqHur0xG0FCcuCvXc3TcIWwHkwNSHds=w1200-h800
CURUG PANGERAN WISATA ALAM,Alam,Wisata Alam,Cibungbulang,Kabupaten Bogor,4.5,2605,,https://www.google.com/maps/place/CURUG+PANGERAN+WISATA+ALAM/data=!4m7!3m6!1s0x2e69d1983daaaab3:0xb28d41ae4a0658d8!8m2!3d-6.6991645!4d106.6929605!16s%2Fg%2F11cm68vrpj!19sChIJs6qqPZjRaS4R2FgGSq5BjbI?authuser=0&hl=id&rclk=1,-6.6991645,106.6929605,https://lh3.googleusercontent.com/p/AF1QipPOsdahTy9kxw0YMOjCX7hb-GiTGjYqVxFa0Yf6=w1200-h800
Parung Singa Gunung Sodong,Alam,Wisata Alam,Cibungbulang,Kabupaten Bogor,4.3,39,,https://www.google.com/maps/place/Parung+Singa+Gunung+Sodong/data=!4m7!3m6!1s0x2e69deab7d4dadfd:0x197a160394f2b795!8m2!3d-6.5500329!4d106.623292!16s%2Fg%2F11ggpkdl5n!19sChIJ_a1NfaveaS4RlbfylAMWehk?authuser=0&hl=id&rclk=1,-6.5500329,106.623292,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwLA6LXjGCWqJpAqM2N6v4M9jjng7H4cnMLg39TO7Rp7l4LVfEr7o8svhZnSxMUJzmrjLHKnGWzm9K_ukgw5tiQMYsPKfhPZE0SEgM6eDwZVH-txppNjSlowB3DMYWs-VTEDDjf=w1200-h800
Ranggon Hills camping ground,Rekreasi,Wisata Rekreasi,Cibungbulang,Kabupaten Bogor,4.5,1829,,https://www.google.com/maps/place/Ranggon+Hills+camping+ground/data=!4m7!3m6!1s0x2e69d196bdcc0d0d:0x70d7e9d11b6f576c!8m2!3d-6.6977087!4d106.6929414!16s%2Fg%2F11gbkv5k69!19sChIJDQ3MvZbRaS4RbFdvG9Hp13A?authuser=0&hl=id&rclk=1,-6.6977087,106.6929414,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwmiXc6NezO0vNkAVf2vZWHLTil0UTYgreM4cJFJB8aCdTR_xVKLwGwfcuAr9av_HtWOqkrzgIHSUvF4FxAjctaU4LaqfQdkStvFZz5hpt9hlmUsLecy-0cgec7H-tM7NCO4rtXBg=w1200-h800
Wisata Bukit Cianten,Alam,Wisata Alam,Cibungbulang,Kabupaten Bogor,4.4,431,,https://www.google.com/maps/place/Wisata+Bukit+Cianten/data=!4m7!3m6!1s0x2e69d75d51d5bb07:0x48d126b25aeb7081!8m2!3d-6.7070066!4d106.6099515!16s%2Fg%2F11h2fn5s1n!19sChIJB7vVUV3XaS4RgXDrWrIm0Ug?authuser=0&hl=id&rclk=1,-6.7070066,106.6099515,https://lh3.googleusercontent.com/p/AF1QipPJxSSFDm1qcS02HgX0qywN_x7-IlVkNCNqWxiy=w1200-h800
WISATA SAWAH RAJA,Umum,Lainnya,Cibungbulang,Kabupaten Bogor,4.8,16,,https://www.google.com/maps/place/WISATA+SAWAH+RAJA/data=!4m7!3m6!1s0x2e69db3b5869a441:0x70b6d1f2fb599409!8m2!3d-6.616343!4d106.7120964!16s%2Fg%2F11kbfjkbtz!19sChIJQaRpWDvbaS4RCZRZ-_LRtnA?authuser=0&hl=id&rclk=1,-6.616343,106.7120964,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSweSpBRrddCdfoKyArR1BPH-exO8y5E29cFG4vIlK_F0QjysdbZWnhg4hNyQM2khGMSOokZmHAGMR2I-thfBCWyTKdm3XqC6ml2QJLTLq8qjTE1JUU0-KRU1JM1SwUSSJT3ESwhFg=w1200-h800
KOPI RAFTING BOGOR,Umum,Lainnya,Cibungbulang,Kabupaten Bogor,4.5,254,,https://www.google.com/maps/place/KOPI+RAFTING+BOGOR/data=!4m7!3m6!1s0x2e69dbcf9b82431d:0x231aa68516c504df!8m2!3d-6.5829549!4d106.6434677!16s%2Fg%2F11c61rt12l!19sChIJHUOCm8_baS4R3wTFFoWmGiM?authuser=0&hl=id&rclk=1,-6.5829549,106.6434677,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx-jW0xaPl-UWs-QUD79tGc7I2vpW3U8tydaMowZYgPui28Yxw-3J7gELLLFPO9DdsOF3GId5ZnwnIEfunAHpRuZc_Xath3iUXeVEb5zdsceBajsSHs6688vYnaLtvEccOqWSLvuA=w1200-h800
Wisata Gunung Picung,Alam,Wisata Alam,Cibungbulang,Kabupaten Bogor,4.8,10,,https://www.google.com/maps/place/Wisata+Gunung+Picung/data=!4m7!3m6!1s0x2e69d1b8860d61e7:0x612a832e2b5594bb!8m2!3d-6.6763587!4d106.6803622!16s%2Fg%2F11s2y28c05!19sChIJ52ENhrjRaS4Ru5RVKy6DKmE?authuser=0&hl=id&rclk=1,-6.6763587,106.6803622,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzsgVsaFgIoo3r76caHN3h11BKtsvzzhXVLX--Wn1a3ILFo4mW-VH_8A_Ilzk-XOpN4Q1PJ4QOQp5IGIBA6GagLWH6zCMAe21sCIj6U7jzKkiK7Nt12WvkvgtuTxjOMP0H2Zryg=w1200-h800
Wisata Bakukung,Umum,Lainnya,Cibungbulang,Kabupaten Bogor,4.5,181,,https://www.google.com/maps/place/Wisata+Bakukung/data=!4m7!3m6!1s0x2e69d69155555555:0x4f7600af4019d0bf!8m2!3d-6.7020835!4d106.5996595!16s%2Fg%2F11f3qvhtwz!19sChIJVVVVVZHWaS4Rv9AZQK8Adk8?authuser=0&hl=id&rclk=1,-6.7020835,106.5996595,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzeON3BKw9VnncQG9kl8G35ItjJ-DSN_EuJlFINI6dLVX3ttXhHiUq0LKSums2LOoPzacq-1LIyEzdESRou3kq0_yy2HVWohqWZrn-YNkUhLHPYmLhr6YDD9g9hnLflsVuUrI3q-A=w1200-h800
Ranesa Farm,Rekreasi,Wisata Rekreasi,Cibungbulang,Kabupaten Bogor,5.0,12,,https://www.google.com/maps/place/Ranesa+Farm/data=!4m7!3m6!1s0x2e69db1b85deb0f3:0x7922a4fafe8defe8!8m2!3d-6.589464!4d106.6496804!16s%2Fg%2F11ssz8gdln!19sChIJ87DehRvbaS4R6O-N_vqkInk?authuser=0&hl=id&rclk=1,-6.589464,106.6496804,https://lh3.googleusercontent.com/p/AF1QipOnuavzsBy_5AcZVUDfSvJwv30Smz7Y-i1klkn_=w1200-h800
Bukit Bintang Leuwiliang Kracak,Alam,Wisata Alam,Cibungbulang,Kabupaten Bogor,3.9,368,,https://www.google.com/maps/place/Bukit+Bintang+Leuwiliang+Kracak/data=!4m7!3m6!1s0x2e69d91d76c76149:0x2b8aa7c747c684d0!8m2!3d-6.6055852!4d106.6140486!16s%2Fg%2F11gj0wvqk1!19sChIJSWHHdh3ZaS4R0ITGR8eniis?authuser=0&hl=id&rclk=1,-6.6055852,106.6140486,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxtvya57_I4lH5y-a95qBUutZn5rMdDqll55I597stBa15kXON82UNtcmUTBhd1tPOi44CIFKFKhcdlOckaHCF2ZfKTkeYtRmx4a_0sSbmn2VUU-d47xyboXZxfzd5XL_hfqq6H=w1200-h800
Curug Cisadane,Alam,Wisata Alam,Cigombong,Kabupaten Bogor,4.7,159,,https://www.google.com/maps/place/Curug+Cisadane/data=!4m7!3m6!1s0x2e69cba37c74c261:0x1ec7bf49c08fa84e!8m2!3d-6.7784549!4d106.8801475!16s%2Fg%2F11g1mg6s3k!19sChIJYcJ0fKPLaS4RTqiPwEm_xx4?authuser=0&hl=id&rclk=1,-6.7784549,106.8801475,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyAfMtOj_1NhKS5uGpZU2S8uIgzjVzRL8QV0SXypqZLR-NNHJbDYumFutbb-bVX3bhu8NPAshhAnvO0ZxxrdzLFG0TJhZi_cZ8wPqeOd_avY0W1umZ-YhVsUDQ3_Lj4sckK_lgu=w1200-h800
Camping Ground Desa Wisata Watesjaya,Rekreasi,Wisata Rekreasi,Cigombong,Kabupaten Bogor,4.0,3,,https://www.google.com/maps/place/Camping+Ground+Desa+Wisata+Watesjaya/data=!4m7!3m6!1s0x2e69cb6977f82d93:0x1d994f33c2255a0b!8m2!3d-6.7625683!4d106.8363165!16s%2Fg%2F11rqkrsprz!19sChIJky34d2nLaS4RC1olwjNPmR0?authuser=0&hl=id&rclk=1,-6.7625683,106.8363165,
Bukit Alesano,Alam,Wisata Alam,Cigombong,Kabupaten Bogor,4.0,946,,https://www.google.com/maps/place/Bukit+Alesano/data=!4m7!3m6!1s0x2e69ce7ff8bf3745:0x189a51db3c899c61!8m2!3d-6.7074452!4d106.7770772!16s%2Fg%2F11g7yctbkp!19sChIJRTe_-H_OaS4RYZyJPNtRmhg?authuser=0&hl=id&rclk=1,-6.7074452,106.7770772,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwyMlxM6Fw-k_a60IrSkXNJWXXDS6BQ23PRXIjeVacRemvxD9aMu0FW7Xv2Bgl5tne1ahvEtCePnZhrluYazqy1gPa9tHk35JWSDUOrkDOifCD7k-Zfj1i9iMqsdbv1xjbfMvCEZw=w1200-h800
Curug Ciawitali,Alam,Wisata Alam,Cigombong,Kabupaten Bogor,4.3,99,,https://www.google.com/maps/place/Curug+Ciawitali/data=!4m7!3m6!1s0x2e69cb19260da74f:0x7db2f9887dc2c726!8m2!3d-6.767482!4d106.8583207!16s%2Fg%2F11cn5mqwyd!19sChIJT6cNJhnLaS4RJsfCfYj5sn0?authuser=0&hl=id&rclk=1,-6.767482,106.8583207,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzyXL-sZqbYgnF7yyg_9o-La60S9fSZ5foj6iilzV_oZtJhQOeMb21KFpt90FZ67WUxutDIZxfs4HCVpSCHDmnizuU1lr_EQd5HVOiaAECJwxhy57Ss7oqP9AOYpPBcQMJlC2J4gbQsYg=w1200-h800
Kolam renang Baraya,Rekreasi,Wisata Rekreasi,Cigombong,Kabupaten Bogor,4.9,20,,https://www.google.com/maps/place/Kolam+renang+Baraya/data=!4m7!3m6!1s0x2e69cb5e4906738d:0xf5e49fca4e7b11b1!8m2!3d-6.7459662!4d106.823228!16s%2Fg%2F11rzjf0r5y!19sChIJjXMGSV7LaS4RsRF7Tsqf5PU?authuser=0&hl=id&rclk=1,-6.7459662,106.823228,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwtpRQ1NXiUYG6--sqUNPJVm7znjd9Vr6C7DZkgSZZD6Qnit_V4s9MDbW5sQ9BOYaU1H8Ksblnm5z9LMiofYERJnyOgarkSgzuERI4BwwvUQ-ghWlgeB0qtuaCaNe6JkpeLr3o=w1200-h800
Desa Wisata Wates Jaya,Umum,Lainnya,Cigombong,Kabupaten Bogor,4.4,118,,https://www.google.com/maps/place/Desa+Wisata+Wates+Jaya/data=!4m7!3m6!1s0x2e69cb8c639e2eb5:0x262d3029e53d9400!8m2!3d-6.763018!4d106.8367342!16s%2Fg%2F11jk7wfx37!19sChIJtS6eY4zLaS4RAJQ95SkwLSY?authuser=0&hl=id&rclk=1,-6.763018,106.8367342,
Curug Cilengkong,Alam,Wisata Alam,Cigombong,Kabupaten Bogor,4.7,34,,https://www.google.com/maps/place/Curug+Cilengkong/data=!4m7!3m6!1s0x2e69cb6ca8a7a413:0xee93d9cba016595!8m2!3d-6.7655439!4d106.8407073!16s%2Fg%2F11c607m_jj!19sChIJE6SnqGzLaS4RlWUBupw96Q4?authuser=0&hl=id&rclk=1,-6.7655439,106.8407073,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxRfMHXKyrkNajBYiSgEFlzvURQUrJsKJPpKt9DVkf_Z7-fjubwgeSXhfSFNKzG4gzdBZqWPGm3ph4T5ypuKIZsEw6TScvvxbLdejgwTUXqqdcv-47b9PLJ2a8Iqt6pzUzEVQHD=w1200-h800
Kandang Rusa Lido Lake Resort,Alam,Wisata Alam,Cigombong,Kabupaten Bogor,5.0,4,,https://www.google.com/maps/place/Kandang+Rusa+Lido+Lake+Resort/data=!4m7!3m6!1s0x2e69cda378f17fbf:0xa679a25655ee8a32!8m2!3d-6.7473234!4d106.8095598!16s%2Fg%2F11s8gf62rr!19sChIJv3_xeKPNaS4RMoruVVaieaY?authuser=0&hl=id&rclk=1,-6.7473234,106.8095598,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyXEefETQ_pv_9GVQcrxFU0-aXmQmR1is4FFVn2HagRKKp7P55keY04m9XGjr3OpbBSkdY56fDip9tm07TDJziutudmrkLdzeEkS5P3s4Dzw0l2zEE9kl_eCOGsBj6qwo26l81Y=w1200-h800
BENDUNGAN CISADANE CIWALUH,Umum,Lainnya,Cigombong,Kabupaten Bogor,4.8,4,,https://www.google.com/maps/place/BENDUNGAN+CISADANE+CIWALUH/data=!4m7!3m6!1s0x2e69cb856c447adf:0x5136fb076c8faadc!8m2!3d-6.7641516!4d106.8444352!16s%2Fg%2F11rgv52nf4!19sChIJ33pEbIXLaS4R3KqPbAf7NlE?authuser=0&hl=id&rclk=1,-6.7641516,106.8444352,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSySxU0ymcu-nQ0KUTnd3DtvOHXOAwrB_JcZhU9e6425CRZ9rIWAJNZis_9tPMSC6HXBo76GWdlTjlLFlCHQoSRKXUHFri5lu9tF7fgP-pBP2o4jZEvG8tqsvlDP4SKXa-c0MS2p=w1200-h800
BUKIT CILETIK CAMP CIWALUH,Alam,Wisata Alam,Cigombong,Kabupaten Bogor,4.5,11,,https://www.google.com/maps/place/BUKIT+CILETIK+CAMP+CIWALUH/data=!4m7!3m6!1s0x2e69cb0357a97b13:0x8b832500ea3d3bd1!8m2!3d-6.7654654!4d106.8509496!16s%2Fg%2F11qgs90m63!19sChIJE3upVwPLaS4R0Ts96gAlg4s?authuser=0&hl=id&rclk=1,-6.7654654,106.8509496,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSynvb-0HZ_Y3s_YNhOZtadTr-wRHoBWyF1uQR2QYbp41fX5orun5vF5SZWYg-AlZQzYwhFFEY4VdpFnl3BDGEaqj-78CJkN9_runQjpoFd8LlqK9j_5D9EhZLdLTMvB63r7Ssnh=w1200-h800
Bumi Perkemahan Suaka Elang,Umum,Lainnya,Cigombong,Kabupaten Bogor,4.2,1006,,https://www.google.com/maps/place/Bumi+Perkemahan+Suaka+Elang/data=!4m7!3m6!1s0x2e69cc306f00401b:0x279fc88e7166395b!8m2!3d-6.7185257!4d106.7694943!16s%2Fg%2F11cjp8cjyw!19sChIJG0AAbzDMaS4RWzlmcY7Inyc?authuser=0&hl=id&rclk=1,-6.7185257,106.7694943,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz_2c4YzkT332Zx2ubZ3TXIeT1wE8pOrhwdd8IXNaVCFRBLuQ7SbtPQOJnAUvS0sdg9QIH7CxMV7X4ecfTHa134x7-8Gb-z5TrmOoNmoTHS3VV1xitDDy13o91HL4jOqrBBqNC_Tg=w1200-h800
